Event Name,Date,Venue,Vertical
Ravi Shankar Tribute,2026-02-12,JBT,Indian Music
Jazz Night,2026-02-15,Tata,Intl Music
Kathak Festival,2026-02-14,Experimental,Dance
Kathak Festival,2026-02-15,Experimental,Dance
Kathak Festival,2026-02-16,Experimental,Dance
Corporate Annual Meet,2026-02-18,Little Theatre,Corporate
Chamber Music Evening,2026-02-20,Godrej Dance,Western Music
World Music Festival,2026-02-22,JBT,Intl Music
Drama Production,2026-02-24,Tata,Theatre
Library Talk Series,2026-02-25,Little Theatre,Library
Classical Dance Recital,2026-02-27,Experimental,Dance
Rock Concert,2026-02-28,JBT,Western Music
