Date,Program,Venue,Team,Sound Requirements,Call Time,Crew
2026-02-01,Jazz Night Showcase,TT,Farrahnaz & Team,Check sound requirements with team,17:00,
2026-02-01,Indian Classical Evening,JBT,Dr.Rao/Team,Full concert setup required,18:00,
2026-02-02,Theatre Production Opening,TET,Nooshin/Team,Theatre mic setup,14:00,
2026-02-02,Western Classical Concert,TT,Bianca/Team,Orchestra setup,19:00,
2026-02-03,Dance Festival Day 1,JBT,Dr.Swapno/Team,Dance concert audio,16:00,
2026-02-04,Dance Festival Day 2,JBT,Dr.Swapno/Team,Dance concert audio,16:00,
2026-02-05,Dance Festival Day 3,JBT,Dr.Swapno/Team,Dance concert audio,16:00,
2026-02-06,Library Talk,Stuart Liff,Dr.Sujata/Team,Simple mic setup,15:00,
2026-02-07,Art Gallery Event,DPAG,DP,Basic setup,11:00,
2026-02-08,Corporate Event XYZ,LT,Marketing,Corporate audio setup,09:00,
2026-02-09,Multi-venue Festival,TT TET GDT,Farrahnaz & Team,Complex multi-venue setup,10:00,
2026-02-10,International Jazz Night,JBT,Farrahnaz & Team,Jazz concert setup,19:00,
